"","U2OS","MCF7","GAMG","LN229","SF295","HEC108","HEC151","HEC251","HEC265","HEC59","HEC6","ISHIKAWAHERAKLIO02ER","JHUEM2","KLE","MFE319","SNGM","AMO1","BL70","EJM","GDM1","HT","KMS11","KU812","LP1","MC116","MOLM16","NOMO1","NUDUL1","OCIAML3","OCILY10","P3HR1","PL21","RPMI8226","SKM1","SUDHL4","SUDHL5","THP1","U937","WSUDLCL2","RCC10RGB","VMRCRCW","C2BBE1","CL34","CL40","COLO205","COLO320","COLO678","CW2","DLD1","GP2D","HCT116","HCT8","HT115","HT29","HT55","KM12","LOVO","LS123","LS180","LS411N","LS513","MDST8","NCIH508","RCM1","RKO","SKCO1","SNU1040","SNU175","SNU61","SNU81","SNUC2A","SNUC4","SNUC5","SW403","SW48","SW480","SW620","SW948","HEPG2","JHH6","SNU398","SNU449","A549","BEN","CAL12T","CALU3","CALU6","CHAGOK1","COLO668","COLO699","CORL23","CORL279","CORL51","CORL88","DMS273","DV90","EBC1","EPLC272H","HARA","HCC1195","HCC1359","HCC15","HCC1833","HCC2108","HCC2935","HCC33","HCC4006","HCC44","HCC78","HCC827","KNS62","LC1SQSF","LCLC103H","LCLC97TM1","LU65","LU99","LXF289","NCIH1048","NCIH1105","NCIH1299","NCIH1355","NCIH1373","NCIH1435","NCIH1437","NCIH1568","NCIH1573","NCIH1666","NCIH1694","NCIH1755","NCIH1781","NCIH1792","NCIH1793","NCIH1836","NCIH1876","NCIH1915","NCIH1930","NCIH1944","NCIH1963","NCIH1975","NCIH2009","NCIH2023","NCIH2029","NCIH2030","NCIH2073","NCIH2081","NCIH2110","NCIH2122","NCIH2126","NCIH2141","NCIH2172","NCIH2286","NCIH23","NCIH2342","NCIH2405","NCIH3255","NCIH358","NCIH441","NCIH460","NCIH522","NCIH596","NCIH650","NCIH661","NCIH727","NCIH810","NCIH82","NCIH841","RERFLCKJ","SCLC21H","SHP77","SKLU1","SQ1","T3M10","VMRCLCD","KYSE140","KYSE410","KYSE450","A2780","CAOV3","COV318","COV362","COV434","COV644","EFO21","EFO27","HEYA8","IGROV1","JHOC5","JHOM1","JHOS4","OAW42","OV7","OV90","OVCAR4","OVCAR8","OVK18","OVKATE","OVMANA","RKN","RMGI","RMUGS","SKOV3","SNU840","TYKNU","CAPAN2","CFPAC1","HPAC","HUPT4","KP3","PANC0327","PANC1005","PATU8902","QGP1","SUIT2","MSTO211H","NCIH2052","NCIH28","PC3","A375","COLO741","G361","HS852T","HS936T","HS944T","SKMEL1","SKMEL28","SKMEL5","G401","HT1080","AGS","FU97","KE97","MKN7","MKN74","NUGC4","SH10TC","HSC2","SCC9","5637","HT1376","KMBC2","RT4","UMUC3"
"erastin",NA,6.0497,NA,6.4551,NA,NA,5.9333,NA,NA,NA,NA,NA,6.4728,NA,NA,NA,7.3997,NA,6.3599,3.1625,NA,5.4892,NA,6.4036,NA,6.4439,4.9898,2.0549,6.7305,7.1484,NA,5.4269,6.5701,5.8913,4.2051,1.2759,6.7413,4.6243,1.9353,3.662,NA,NA,6.3859,5.3604,NA,4.7623,5.9071,5.8036,NA,NA,5.1139,6.8623,6.7631,6.7823,6.5833,5.0817,6.8118,1.8201,7.1491,NA,NA,3.7566,2.4624,6.9087,6.5633,NA,6.4094,6.1636,4.5631,5.0589,NA,5.8654,6.5691,NA,NA,6.5015,6.9622,5.5572,6.2416,NA,7.0571,NA,NA,NA,7.2922,NA,NA,NA,NA,6.9258,5.2836,NA,4.8289,NA,NA,NA,NA,NA,NA,6.9601,4.1602,5.7424,7.2039,6.8659,6.6907,NA,6.034,NA,NA,6.3102,NA,NA,NA,NA,NA,NA,NA,NA,5.219,NA,NA,NA,NA,NA,NA,NA,NA,3.5988,6.9884,6.5852,NA,NA,6.0731,3.8463,NA,NA,NA,2.7771,NA,NA,6.697,NA,7.0288,6.5829,3.7526,6.2229,6.7559,NA,5.6531,6.9308,NA,NA,6.4846,NA,5.8639,NA,6.9177,7.1751,NA,6.9108,NA,NA,NA,NA,NA,5.9712,NA,3.735,NA,7.3013,6.0525,7.3194,NA,NA,NA,NA,6.5864,6.7823,NA,7.0048,3.3658,6.5493,NA,6.4023,NA,5.7845,5.1676,6.9449,NA,7.5596,4.628,6.0904,4.2684,5.8763,2.4076,6.4777,NA,2.7649,5.4853,5.2819,NA,5.8488,3.7726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1131,NA,NA,NA,NA,NA,6.8832,7.2433,7.6196,NA,7.0177,8.1893,NA,NA,NA,NA,NA,NA,NA,7.49,NA,NA,NA,NA,NA
"LFM-A13",NA,5.968,NA,6.0987,NA,NA,5.9825,NA,NA,NA,NA,NA,5.373,NA,NA,NA,7.5318,NA,6.3935,6.1825,NA,5.1785,NA,5.5293,NA,6.7648,6.0439,6.1685,5.1498,6.3249,NA,6.1092,6.1604,6.4374,6.9519,5.6332,5.8518,6.0076,6.6635,7.1222,NA,NA,6.4863,7.6668,NA,6.1858,6.2206,6.9717,NA,NA,6.2168,6.8792,6.7296,6.7609,7.1393,6.3844,6.5346,6.2456,6.4044,NA,NA,6.5584,6.4852,6.5825,7.3954,NA,6.5948,6.2491,7.1034,6.9698,NA,7.1873,7.0762,NA,NA,5.7514,6.4203,7.0417,6.6805,NA,6.4374,NA,NA,NA,6.9971,NA,NA,NA,NA,6.5192,7.4353,NA,6.8406,NA,NA,NA,NA,NA,NA,6.2972,7.7524,6.2285,5.8954,5.7517,6.5254,NA,6.0725,NA,NA,6.1022,NA,NA,NA,NA,NA,NA,NA,NA,6.2952,NA,NA,NA,NA,NA,NA,NA,NA,6.3656,6.6682,6.017,NA,NA,5.671,5.4188,NA,NA,NA,5.9121,NA,NA,5.8938,NA,6.2284,6.0191,5.7182,6.0479,6.2384,NA,7.3982,6.2016,NA,NA,5.8768,NA,6.6533,NA,6.5469,6.6301,NA,6.1961,NA,NA,NA,NA,NA,6.4819,NA,6.9964,NA,5.587,6.3096,5.5521,NA,NA,NA,NA,6.6267,6.9412,NA,6.6159,6.1403,6.8444,NA,6.6927,NA,6.1115,6.1902,5.9738,NA,7.4336,6.5279,5.8632,5.4376,5.7486,5.28,6.3707,NA,6.6274,5.5811,5.1669,NA,6.204,6.2617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6749,NA,NA,NA,NA,NA,6.5042,6.2948,6.5173,NA,5.922,7.3059,NA,NA,NA,NA,NA,NA,NA,7.2408,NA,NA,NA,NA,NA
"necrostatin-1",NA,6.0402,NA,6.0798,NA,NA,5.054,NA,NA,NA,NA,NA,6.2361,NA,NA,NA,8.6236,NA,5.8046,6.1027,NA,5.656,NA,4.9242,NA,6.8097,6.2476,3.8789,5.4659,5.8718,NA,6.0377,5.5651,5.9581,6.8306,6.1926,6.3625,5.5651,7.0313,7.2296,NA,NA,6.7161,7.8855,NA,6.604,6.2213,6.9107,NA,NA,6.0392,6.8224,7.6355,6.9612,7.0499,6.8243,6.4887,6.4239,6.8784,NA,NA,6.7405,7.0785,6.8596,7.0825,NA,6.1119,7.7326,7.5538,7.194,NA,7.0073,6.9707,NA,NA,5.6358,5.807,7.5237,5.889,NA,6.2621,NA,NA,NA,6.52,NA,NA,NA,NA,6.6568,7.8425,NA,7.7258,NA,NA,NA,NA,NA,NA,6.913,7.9922,6.1649,6.8721,5.3604,6.6937,NA,5.5297,NA,NA,6.7561,NA,NA,NA,NA,NA,NA,NA,NA,6.8883,NA,NA,NA,NA,NA,NA,NA,NA,5.8034,6.2647,6.4849,NA,NA,5.8827,4.9258,NA,NA,NA,2.4194,NA,NA,6.4784,NA,6.2566,5.9216,6.2061,5.2075,5.8923,NA,6.9664,5.4791,NA,NA,6.0289,NA,6.8885,NA,6.8737,7.3092,NA,6.048,NA,NA,NA,NA,NA,6.1665,NA,6.713,NA,6.0022,6.9128,5.3727,NA,NA,NA,NA,6.4987,7.4628,NA,7.0236,6.0029,6.863,NA,6.371,NA,5.8102,6.0687,4.9807,NA,7.1099,6.5248,5.8107,5.5229,5.8125,5.2981,6.5169,NA,6.3571,5.4705,5.1525,NA,6.5498,6.3437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5377,NA,NA,NA,NA,NA,6.2424,7.1696,5.9578,NA,5.8586,9.4736,NA,NA,NA,NA,NA,NA,NA,6.9668,NA,NA,NA,NA,NA
"zileuton",NA,6.4332,NA,6.0382,NA,NA,5.2069,NA,NA,NA,NA,NA,6.4898,NA,NA,NA,5.9855,NA,6.075,5.7612,NA,5.6723,NA,5.3864,NA,6.4263,6.5003,7.1239,5.8958,6.0469,NA,5.6977,6.4483,6.2039,6.1488,7.1086,7.2358,5.7432,6.4439,7.5568,NA,NA,6.4359,7.3329,NA,5.4436,6.3109,5.9798,NA,NA,6.3743,6.4897,6.5434,6.3983,6.7369,6.7632,6.2004,6.8718,6.1961,NA,NA,6.3606,6.8101,7.1076,6.5863,NA,6.4383,6.9271,6.5236,6.3632,NA,5.4865,5.5316,NA,NA,5.6931,5.8103,6.7637,7.1303,NA,6.5206,NA,NA,NA,6.352,NA,NA,NA,NA,5.953,6.8087,NA,5.5327,NA,NA,NA,NA,NA,NA,6.7156,6.5095,5.8813,6.1067,5.5376,6.1655,NA,6.6795,NA,NA,6.2031,NA,NA,NA,NA,NA,NA,NA,NA,5.8326,NA,NA,NA,NA,NA,NA,NA,NA,6.366,6.2779,6.4861,NA,NA,6.361,6.8604,NA,NA,NA,6.1221,NA,NA,6.5822,NA,6.2798,5.8493,6.7695,5.3359,5.8934,NA,6.9576,6.4155,NA,NA,5.9872,NA,5.8611,NA,6.2223,6.3632,NA,6.0593,NA,NA,NA,NA,NA,6.4082,NA,6.2126,NA,6.5674,6.6658,5.7622,NA,NA,NA,NA,5.5863,6.442,NA,6.5633,6.5539,6.3974,NA,6.6352,NA,6.4941,6.8481,6.4855,NA,7.1056,6.6879,5.9527,5.3265,5.8167,5.6709,6.4278,NA,6.6047,6.1754,5.5978,NA,6.083,6.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6267,NA,NA,NA,NA,NA,6.8528,7.3614,6.1994,NA,6.2937,5.2206,NA,NA,NA,NA,NA,NA,NA,6.3066,NA,NA,NA,NA,NA
"PX-12",NA,3.3315,NA,3.692,NA,NA,NA,NA,NA,NA,NA,NA,3.2903,NA,NA,NA,NA,NA,2.2263,0.76623,NA,NA,NA,NA,NA,3.0058,0.51581,0.49079,1.3356,NA,NA,0.37991,3.0676,2.396,2.5098,1.1477,1.8943,2.3733,1.4484,NA,NA,NA,3.3683,3.6956,NA,3.5036,3.3832,2.0571,NA,NA,2.0947,4.2719,3.1949,5.4717,3.4653,2.3617,3.1363,3.8596,NA,NA,NA,3.7556,2.8695,4.0078,1.2594,NA,5.2029,1.7819,3.1302,2.4829,NA,2.5897,1.6788,NA,NA,4.862,4.293,2.473,5.0713,NA,NA,NA,NA,NA,4.7134,NA,NA,NA,NA,3.3017,2.5819,NA,NA,NA,NA,NA,NA,NA,NA,5.2166,3.2806,4.0767,4.714,4.4155,4.3033,NA,3.8496,NA,NA,4.5677,NA,NA,NA,NA,NA,NA,NA,NA,2.1113,NA,NA,NA,NA,NA,NA,NA,NA,1.8585,5.5432,3.9438,NA,NA,2.0052,1.8825,NA,NA,NA,NA,NA,NA,6.9305,NA,5.984,4.8703,3.8525,5.7962,5.4763,NA,NA,6.1495,NA,NA,3.3225,NA,5.1159,NA,3.8616,6.706,NA,3.0018,NA,NA,NA,NA,NA,4.1369,NA,NA,NA,4.3336,4.776,4.3245,NA,NA,NA,NA,NA,4.5518,NA,5.6416,2.5489,4.0534,NA,3.3428,NA,NA,4.7598,5.0504,NA,5.9825,5.1798,3.6532,NA,NA,1.6011,NA,NA,NA,3.2077,2.913,NA,3.1854,3.2866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9553,NA,NA,NA,NA,NA,3.2402,7.1625,3.9638,NA,5.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nimodipine",NA,7.0617,NA,6.7758,NA,NA,NA,NA,NA,NA,NA,NA,6.4992,NA,NA,NA,NA,NA,6.9633,6.7884,NA,NA,NA,NA,NA,7.3617,7.0639,7.0078,6.538,NA,NA,6.5069,6.2142,6.8656,7.3188,7.6608,6.8461,6.3265,7.24,NA,NA,NA,7.2029,7.6952,NA,7.2661,7.1395,6.9375,NA,NA,6.8193,7.3042,7.1891,7.4169,7.4915,7.2756,7.0004,6.9534,NA,NA,NA,7.0212,7.2744,7.0534,7.0673,NA,7.1815,7.5257,7.2428,6.7931,NA,7.5443,7.7457,NA,NA,6.8196,7.0258,7.4194,7.2666,NA,NA,NA,NA,NA,7.2983,NA,NA,NA,NA,7.1884,7.7229,NA,NA,NA,NA,NA,NA,NA,NA,7.0996,7.6822,6.7071,7.1113,7.1214,7.1468,NA,6.6101,NA,NA,7.1292,NA,NA,NA,NA,NA,NA,NA,NA,5.2296,NA,NA,NA,NA,NA,NA,NA,NA,7.2272,7.0642,6.6262,NA,NA,7.5328,7.1277,NA,NA,NA,NA,NA,NA,7.1167,NA,7.0396,6.9278,7.2575,7.6854,7.3676,NA,NA,6.5691,NA,NA,7.1609,NA,7.2401,NA,7.245,6.3501,NA,6.9945,NA,NA,NA,NA,NA,6.8734,NA,NA,NA,7.0661,7.2174,6.7369,NA,NA,NA,NA,NA,7.1669,NA,7.9761,6.706,7.2705,NA,6.4646,NA,NA,6.8017,6.5847,NA,7.1455,6.9003,6.8505,NA,NA,6.846,NA,NA,NA,7.1408,6.4607,NA,6.6427,7.1004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0082,NA,NA,NA,NA,NA,7.1325,7.0308,7.4649,NA,6.8797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fumonisin B1",NA,6.9457,NA,6.7207,NA,NA,NA,NA,NA,NA,NA,NA,6.8102,NA,NA,NA,NA,NA,5.7023,2.9612,NA,NA,NA,NA,NA,1.9691,1.7722,5.244,3.9327,NA,NA,5.1619,7.5705,5.6773,4.7522,1.8242,5.8434,7.8767,7.07,NA,NA,NA,7.2652,4.9096,NA,5.3557,6.4129,6.7684,NA,NA,6.8223,6.4858,5.8264,6.8838,6.78,7.3262,5.3146,6.3516,NA,NA,NA,7.423,7.1588,6.8221,7.1147,NA,7.1067,7.8799,6.5812,5.9964,NA,3.5194,7.3349,NA,NA,6.5234,6.2857,5.8875,7.4654,NA,NA,NA,NA,NA,6.7876,NA,NA,NA,NA,6.5665,7.4279,NA,NA,NA,NA,NA,NA,NA,NA,6.9229,7.7065,5.84,6.9711,6.9425,6.8794,NA,6.7882,NA,NA,6.6088,NA,NA,NA,NA,NA,NA,NA,NA,8.0554,NA,NA,NA,NA,NA,NA,NA,NA,7.5217,6.7828,8.1284,NA,NA,6.8278,6.6257,NA,NA,NA,NA,NA,NA,7.1316,NA,7.4765,6.1288,7.5647,6.9833,7.3106,NA,NA,6.2214,NA,NA,7.0573,NA,7.667,NA,6.9009,6.5863,NA,7.0514,NA,NA,NA,NA,NA,6.3909,NA,NA,NA,7.2403,6.8451,5.1903,NA,NA,NA,NA,NA,7.1357,NA,8.2573,6.3871,6.5092,NA,7.1571,NA,NA,6.5141,5.9144,NA,1.5117,6.3675,5.9136,NA,NA,6.2192,NA,NA,NA,5.6865,5.7347,NA,6.1548,6.6697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9978,NA,NA,NA,NA,NA,7.2203,7.119,7.192,NA,6.7802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"salermide",NA,4.2611,NA,4.1782,NA,NA,NA,NA,NA,NA,NA,NA,3.8294,NA,NA,NA,NA,NA,3.9034,2.3649,NA,NA,NA,NA,NA,5.1193,2.07,1.7423,2.8362,NA,NA,2.77,3.1196,3.0436,4.492,3.4501,2.3414,4.4672,2.8488,NA,NA,NA,5.8529,6.2936,NA,3.5469,4.4718,2.7176,NA,NA,3.6262,4.7329,5.2989,5.5304,4.427,4.3349,3.1581,4.3382,NA,NA,NA,5.417,4.342,4.8291,5.6111,NA,4.3806,2.0912,3.5874,3.3728,NA,2.6717,2.5381,NA,NA,2.1679,2.5563,4.7358,5.2111,NA,NA,NA,NA,NA,4.0133,NA,NA,NA,NA,3.01,5.9271,NA,NA,NA,NA,NA,NA,NA,NA,4.4804,3.7265,3.3055,3.6932,2.1116,3.0387,NA,3.4526,NA,NA,4.0746,NA,NA,NA,NA,NA,NA,NA,NA,1.8219,NA,NA,NA,NA,NA,NA,NA,NA,2.4942,4.5578,2.8927,NA,NA,3.392,2.8452,NA,NA,NA,NA,NA,NA,4.9377,NA,4.3878,3.9335,3.1989,5.5486,2.6533,NA,NA,4.3275,NA,NA,1.5759,NA,4.5311,NA,4.0566,4.2375,NA,2.765,NA,NA,NA,NA,NA,2.4547,NA,NA,NA,4.0575,5.0646,3.1066,NA,NA,NA,NA,NA,5.3043,NA,5.1126,2.0801,4.7938,NA,5.1205,NA,NA,3.3311,3.0903,NA,6.4017,4.8271,2.962,NA,NA,2.333,NA,NA,NA,4.1603,2.9829,NA,3.587,3.2945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8571,NA,NA,NA,NA,NA,4.4943,6.6993,3.4602,NA,3.8367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lovastatin acid",NA,5.879,NA,4.9017,NA,NA,4.1723,NA,NA,NA,NA,NA,2.8798,NA,NA,NA,8.2551,NA,6.8614,5.3146,NA,3.212,NA,5.9185,NA,2.4222,6.6123,7.4479,3.6866,4.8278,NA,4.3162,3.7584,3.4607,3.1087,3.7472,5.2434,4.4158,5.3799,6.4347,NA,NA,6.1913,6.4901,NA,6.4821,5.2226,6.2382,NA,NA,5.3703,5.4543,6.0757,6.8524,6.4759,6.4995,6.0287,5.1021,3.4633,NA,NA,5.1913,7.2969,5.4684,6.4178,NA,5.5934,5.5592,6.2971,6.6114,NA,6.9077,6.6535,NA,NA,4.0487,4.5468,6.4832,6.6842,NA,5.2694,NA,NA,NA,5.3563,NA,NA,NA,NA,5.8892,6.5489,NA,8.2455,NA,NA,NA,NA,NA,NA,4.1164,5.7588,5.1058,6.4852,2.8096,5.7778,NA,5.0384,NA,NA,4.2842,NA,NA,NA,NA,NA,NA,NA,NA,8.9483,NA,NA,NA,NA,NA,NA,NA,NA,5.8908,4.7989,4.2798,NA,NA,5.826,5.4442,NA,NA,NA,6.2915,NA,NA,5.5791,NA,4.3901,5.7119,5.0674,7.9533,4.8854,NA,8.8327,6.4199,NA,NA,6.2106,NA,5.0604,NA,7.001,6.6609,NA,6.0688,NA,NA,NA,NA,NA,6.0271,NA,3.2515,NA,4.5402,6.1807,3.761,NA,NA,NA,NA,0.99635,6.9392,NA,4.6057,3.1361,7.0487,NA,6.2834,NA,4.7807,5.7559,2.8747,NA,5.4397,6.2839,2.8044,4.8036,1.4294,2.3447,1.6346,NA,2.5106,5.2457,5.0802,NA,4.4107,5.1138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2606,NA,NA,NA,NA,NA,5.8213,7.3496,5.3815,NA,2.5233,5.9664,NA,NA,NA,NA,NA,NA,NA,3.9496,NA,NA,NA,NA,NA
"PT-630",NA,7.0528,7.3284,6.5779,7.137,7.1831,7.0192,7.3306,7.9452,7.1027,7.4809,6.9444,6.8533,7.1004,7.1479,6.9672,7.8916,6.4474,7.5946,6.2978,7.3831,7.4921,5.1895,8.0403,8.0222,6.6098,6.6417,5.2612,6.0036,7.8653,7.6658,7.0203,7.1499,7.4432,6.6678,8.0096,6.8859,6.4266,7.0364,NA,7.1865,5.3664,6.5957,6.9567,5.103,7.4047,6.8983,6.3216,6.5373,7.3905,6.9355,6.7408,6.868,7.0996,6.7641,7.1741,6.7212,6.8331,7.3745,7.2275,7.0613,6.906,7.0332,7.0153,7.0566,7.1611,6.4466,7.2949,6.5741,6.2479,7.0556,7.4313,7.1488,7.3505,7.0538,7.0022,6.9948,6.7488,6.7876,7.1298,6.8754,6.9826,7.0798,6.0415,7.0493,7.0876,7.476,6.7676,7.1043,6.6166,6.6994,7.943,8.9473,7.5043,8.1259,6.105,7.3813,6.6902,7.2376,7.1045,6.707,6.8938,7.0832,6.8442,7.186,7.4757,7.2004,7.1743,6.5223,7.1267,7.8017,7.1719,7.3972,7.6369,5.3664,7.0687,7.0847,7.4341,5.8761,5.9928,7.3744,4.4469,6.9906,6.9479,7.2312,6.8873,7.164,7.7079,6.6201,6.5184,7.5593,7.3444,7.274,6.8961,7.4284,7.755,7.5418,10.644,7.3467,6.99,7.467,7.0912,7.0562,6.6814,6.347,7.7599,7.2199,7.9163,7.0774,6.9071,7.0906,7.2385,6.4738,7.1959,6.7326,7.3209,6.4831,7.5175,7.3449,6.8417,7.7602,7.0713,6.5173,6.667,6.7248,7.1941,7.1143,8.2205,6.4527,6.9814,7.0358,6.713,7.5472,7.2717,7.2213,7.306,6.9544,6.7004,7.1085,7.0883,6.6512,6.7629,7.6837,7.1493,7.2465,6.8587,6.9142,6.9455,7.8457,6.8785,6.7113,6.8837,7.0185,7.5082,6.9605,6.8588,7.2834,7.1098,7.3418,6.739,7.2758,6.9734,7.1053,7.1425,6.0491,6.9721,7.5352,6.703,7.2276,7.582,7.2517,6.8956,7.7113,7.3012,7.0846,7.1871,7.6018,6.8468,6.5912,6.9801,7.6037,7.1002,8.0019,7.0644,7.1034,6.6236,7.0766,6.7803,8.696,6.9513,8.2822,7.2991,6.9667,7.6938,7.2074,7.3983,7.2523,6.6664,7.4467,6.9892,6.6828,7.1066
"erastin-A8",NA,6.7615,NA,6.5394,NA,NA,6.9495,NA,NA,NA,NA,NA,6.9061,NA,NA,NA,6.9616,NA,7.0975,6.6886,NA,6.5267,NA,7.4685,NA,7.6337,7.2806,6.3085,6.8295,7.1047,NA,6.3239,7.2517,6.9177,7.1635,7.924,7.2932,6.2925,7.3022,7.3087,NA,NA,7.2385,7.4219,NA,7.0817,6.7993,7.165,NA,NA,6.8522,7.4357,7.2324,7.4935,7.4702,7.033,6.91,6.7977,7.3051,NA,NA,7.4619,7.653,6.9875,7.1474,NA,7.0096,6.5561,7.5122,6.7511,NA,7.2576,7.4905,NA,NA,6.8591,7.1534,7.5284,7.9341,NA,6.6586,NA,NA,NA,7.456,NA,NA,NA,NA,7.3696,7.9,NA,6.8096,NA,NA,NA,NA,NA,NA,7.4121,7.2944,6.8978,7.3141,7.2985,6.9765,NA,7.0189,NA,NA,7.0657,NA,NA,NA,NA,NA,NA,NA,NA,7.8977,NA,NA,NA,NA,NA,NA,NA,NA,6.9563,7.3835,7.1809,NA,NA,7.3997,6.8961,NA,NA,NA,6.2976,NA,NA,7.1551,NA,7.1001,7.0948,7.5186,7.2928,7.4708,NA,8.577,6.8344,NA,NA,7.1634,NA,7.3943,NA,7.5417,7.023,NA,7.3478,NA,NA,NA,NA,NA,6.9975,NA,7.7909,NA,7.0457,7.1442,7.1943,NA,NA,NA,NA,7.3159,7.0463,NA,7.2414,6.9529,7.4226,NA,7.2508,NA,6.7112,6.9318,6.9818,NA,7.8069,7.1481,7.0182,6.5476,6.9409,6.6646,6.9102,NA,7.2285,6.8302,6.2127,NA,6.6886,7.0154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1418,NA,NA,NA,NA,NA,7.3066,7.1108,7.5526,NA,6.9624,8.4572,NA,NA,NA,NA,NA,NA,NA,7.5407,NA,NA,NA,NA,NA
"NSC23766",NA,3.1313,NA,3.9012,NA,NA,4.0177,NA,NA,NA,NA,NA,4.6974,NA,NA,NA,7.3697,NA,2.4599,4.2285,NA,3.6794,NA,5.1332,NA,5.278,3.6478,6.217,1.3569,2.8615,NA,0.86004,3.8485,2.3807,3.3318,2.8034,0.91704,5.1733,2.0302,6.5852,NA,NA,2.9324,5.4158,NA,6.6706,4.7488,8.3836,NA,NA,5.5019,6.4508,6.4102,6.0436,6.7972,1.9345,6.5214,6.3291,5.6855,NA,NA,5.2769,5.7687,6.3469,2.6954,NA,6.205,1.7662,4.932,4.4337,NA,8.9311,2.2221,NA,NA,6.6998,6.7476,7.7917,5.4612,NA,4.6111,NA,NA,NA,2.513,NA,NA,NA,NA,5.6684,5.215,NA,1.9392,NA,NA,NA,NA,NA,NA,3.7397,3.6173,4.9654,6.2626,3.1798,4.9209,NA,3.8953,NA,NA,5.1962,NA,NA,NA,NA,NA,NA,NA,NA,4.1149,NA,NA,NA,NA,NA,NA,NA,NA,3.5516,5.3785,7.5567,NA,NA,2.5347,3.1901,NA,NA,NA,2.2224,NA,NA,6.107,NA,6.6905,5.6038,4.9415,5.214,5.7706,NA,6.1271,5.9772,NA,NA,3.5241,NA,7.0956,NA,4.9798,6.5401,NA,3.6613,NA,NA,NA,NA,NA,4.7204,NA,0.20051,NA,4.6824,5.1417,5.8388,NA,NA,NA,NA,4.7582,4.4433,NA,7.8924,0.8798,2.7397,NA,4.5612,NA,5.2774,4.6627,5.966,NA,6.9523,6.036,5.047,3.2048,4.6275,2.5173,5.9927,NA,5.4386,5.1026,5.0036,NA,5.1238,4.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5092,NA,NA,NA,NA,NA,7.9224,6.7416,6.075,NA,5.8524,3.5517,NA,NA,NA,NA,NA,NA,NA,2.5784,NA,NA,NA,NA,NA
"ML050",NA,6.0378,NA,6.2449,NA,NA,4.7344,NA,NA,NA,NA,NA,5.0226,NA,NA,NA,7.848,NA,6.5868,5.4954,NA,5.7117,NA,4.5825,NA,5.9921,4.7258,3.9385,5.5639,6.7293,NA,5.5872,5.6627,5.2355,5.8863,6.2276,5.8675,6.1221,5.6568,NA,NA,NA,6.3214,7.0026,NA,6.0044,7.0076,5.7987,NA,NA,5.7525,6.4081,6.2181,6.448,6.4961,6.3776,5.8998,6.3659,6.6201,NA,NA,6.9212,6.2058,6.1557,6.631,NA,6.7549,6.4534,6.118,6.8571,NA,7.2209,6.514,NA,NA,5.7699,5.236,7.1369,6.6754,NA,5.1692,NA,NA,NA,6.7596,NA,NA,NA,NA,6.4048,7.1556,NA,6.4626,NA,NA,NA,NA,NA,NA,6.1282,6.5476,6.2413,6.5998,6.5841,6.6377,NA,5.7442,NA,NA,6.9491,NA,NA,NA,NA,NA,NA,NA,NA,5.3915,NA,NA,NA,NA,NA,NA,NA,NA,5.5789,6.9571,6.87,NA,NA,5.7303,5.9014,NA,NA,NA,5.0096,NA,NA,6.6404,NA,6.7517,6.375,7.3286,6.8434,6.1097,NA,6.6909,6.5076,NA,NA,6.0922,NA,6.6836,NA,6.0662,6.2882,NA,5.9079,NA,NA,NA,NA,NA,5.9217,NA,6.0243,NA,6.5527,6.9666,5.7215,NA,NA,NA,NA,5.6739,6.4168,NA,6.889,4.9444,6.5887,NA,6.3117,NA,5.9589,6.1374,5.8252,NA,6.7345,6.6447,6.1028,5.3178,5.9265,5.8085,6.0894,NA,6.6792,6.4001,5.3844,NA,5.8578,5.9944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7132,NA,NA,NA,NA,NA,6.9816,6.2232,5.8534,NA,6.2303,7.3095,NA,NA,NA,NA,NA,NA,NA,6.8504,NA,NA,NA,NA,NA
